hgnc_symbol,nominations,initial_nomination,teams,study,input_data,pharos_class,classification,safety_bucket_definition,abability_bucket_definition,validation_study_details
ELAVL4,1,"2018","MSSM","MSBB","Genetics, RNA",Tbio,"6: Probably small molecule druggable by homology: >=40% homologous to a  protein with a small molecule ligand identified from ChEMBL data, but the ligand does not meeting TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment.","not prioritized for experimental validation"
ENC1,1,"2018","MSSM","MSBB","Genetics, RNA",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.","not prioritized for experimental validation"
ENO1,1,"2018","Emory","ACT, BLSA","Protein",Tchem,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
EPB41L3,1,"2018","Emory","ACT, BLSA","Protein",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
EPHA5,1,"2018","Duke","ADNI","Genetics, Metabolome",Tchem,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","1: Clinical data, evidence of tolerable safety profile in desired modality; target has a drug in phase IV in the appropriate modality, with good safety profile.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
ERBB4,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tclin,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","1: Clinical data, evidence of tolerable safety profile in desired modality; target has a drug in phase IV in the appropriate modality, with good safety profile.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
ERC2,1,"2018","MSSM","MSBB","Genetics, RNA",Tbio,"13: Unknown: There is no information on ligands or structure in any of the categories above.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate.","not prioritized for experimental validation"
ESRRG,1,"2018","Duke","ADNI","Genetics, Metabolome",Tchem,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.","not prioritized for experimental validation"
ETFA,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.","not prioritized for experimental validation"
EZR,1,"2020","MSSM","MSBB","Genetics, Protein",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
FA2H,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tbio,"11: Druggable protein class, no other information: Is a member of a PHAROS druggable class of protein (enzyme, receptor, ion channel, nuclear hormone receptor, kinase) but does not meet any of the criteria above.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
FADS1,1,"2018","Duke","ADNI","Genetics, Metabolome",Tchem,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
FADS2,1,"2018","Duke","ADNI","Genetics, Metabolome",Tbio,"2: Targetable by homology: >=40% homologous to a protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
FAHD2CP,1,"2019","Chang Lab","Mayo","Genetics, RNA",No value,"No value","No value","No value",""
FAM107A,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tbio,"13: Unknown: There is no information on ligands or structure in any of the categories above.","2: No major issues found from gene expression, genetic or pharmacological profiling, but has not been extensively tested in humans.","6: Protein located in intracellular compartment.","not prioritized for experimental validation"
